Head First Java,Kathy Sierra,2003
Java: The Complete Reference,Herbert Schildt,2005
Effective Java (3rd Edition),Joshua Bloch,2008
Java Concurrency in Practice,Brian Goetz,2006
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,2008
Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,1994
Refactoring: Improving the Design of Existing Code,Martin Fowler,1999
Spring in Action,Craig Walls,2011
Java Performance: The Definitive Guide,Scott Oaks,2014
Java: A Beginner's Guide,Herbert Schildt,2014
